price,price_ghdd,hidden,cat_en,catDesc_en,name_en,nameDesc_en,cat_es,catDesc_es,name_es,nameDesc_es,cat_ang,catDesc_ang,name_ang,nameDesc_ang,cat_tlh,catDesc_tlh,name_tlh,nameDesc_tlh
"Price (use ""image"" for an image link, ""menu"" for the name of a menu, or ""note"" for a note within the menu)",Grubhub/Doordash prices,"Put ""yes"" to hide from menu",Category name,Category description,Food item name (or link to image / name of menu),Food item description,,,,,,,,,,,,
menu,,,,,Food,,,,Comida,,,,Fóda,,,,suj,
$10,$13,,Aperitivos Cubanos,Cuban Appetizers,Tostones Rellenos Sampler,"4 tostones stuffed with Picadillo, Ropa Vieja, Lechón, and Chicken",Aperitivos Cubanos,,Tostones Rellenos,"4 tostones rellenos con Picadillo, Ropa Vieja, Lechón, y Pollo",Formafóda,Tó étenne beforan þín fóda,Tostones Rellenos,"iv tostones áfylden mid Picadillo, Ropa Vieja, Lechón, ond Pollo",bISoppa',,"<span class=""lat"">Tostones Rellenos</span>","4 <span class=""lat"">tostones</span> tebta', <span class=""lat"">Picadillo, Ropa Vieja, Lechón, Pollo</span> je lo'."
$10,$13,,,,Croquetas de Jamón,5 lightly breaded fritters with cured spanish ham. Served with ranch dipping sauce,,,Croquetas de Jamón,"5 frituras rellenas de jamón español, servidos con salsa ranchera",,,Croquetas de Jamón,,,,,
$10,$13,,,,Havana Sampler,"3 croquetas, 3 maduros, 3 tostones, and 3 yuca",,,Muestra de la Havana,"3 croquetas, 3 maduros, 3 tostones, y 3 yuca",,,Hafænes Hlæddisc,"ii croquetas, iii maduros, ii tostones, ond iii yuca",,,"<span class=""lat"">Havana</span>vo' wahwi'","2 <span class=""lat"">croquetas</span>, 3 <span class=""lat"">maduros</span>, 2 <span class=""lat"">tostones</span>, 3 <span class=""lat"">yuca</span> je"
$6,$8,,,,Chicharrones,Freshly made pork rinds,,,Chicharrones,Corteza de cerdo,,,Chicharrones,,,,"<span class=""lat"">Chicharrones</span>",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
$4,$5,,,,Empanada,Pastry stuffed with Cuban seasoned ground beef,,,Empanada,Empanada frita rellena de picadillo,,,Inhláfte,"Hierste, crummen of picadillo",,,,
,,,,,,,,,,,,,,,,,,
